key_point,topic
Η σύλληψη γυναικών στρατιωτών αποτελεί μεγάλη ανησυχία,Πρέπει να απαγορεύσουμε τις γυναίκες στη μάχη
Η κυβερνητική παρέμβαση ενέχει τον κίνδυνο να εισαγάγει μεροληψία/να βλάψει την αντικειμενικότητα,Πρέπει να επιδοτήσουμε τη δημοσιογραφία
Είναι προτιμότερο να ξοδέψετε τα χρήματα αλλού,Πρέπει να επιδοτήσουμε τη δημοσιογραφία
Η δημοσιογραφία είναι σαν κάθε άλλη επιχείρηση και αν δεν είναι βιώσιμη θα πρέπει να αποτύχει,Πρέπει να επιδοτήσουμε τη δημοσιογραφία
Η δημοσιογραφία είναι σημαντική για τη διάδοση πληροφοριών/λογοδοσία,Πρέπει να επιδοτήσουμε τη δημοσιογραφία
Οι επιδοτήσεις θα αυξήσουν την ποιότητα της δημοσιογραφίας,Πρέπει να επιδοτήσουμε τη δημοσιογραφία
Η επιδότηση αυξάνει την αντικειμενικότητα στην αναφορά,Πρέπει να επιδοτήσουμε τη δημοσιογραφία
Η επιδότηση είναι σημαντική για να γίνει βιώσιμη η δημοσιογραφία,Πρέπει να επιδοτήσουμε τη δημοσιογραφία
Η εξερεύνηση του διαστήματος μπορεί να γίνει από τον ιδιωτικό τομέα,Πρέπει να επιδοτήσουμε την εξερεύνηση του διαστήματος
Η εξερεύνηση του διαστήματος είναι ακριβή,Πρέπει να επιδοτήσουμε την εξερεύνηση του διαστήματος
Η εξερεύνηση του διαστήματος είναι αναποτελεσματική,Πρέπει να επιδοτήσουμε την εξερεύνηση του διαστήματος
Υπάρχουν θέματα πιο σημαντικά για χρηματοδότηση από την εξερεύνηση του διαστήματος,Πρέπει να επιδοτήσουμε την εξερεύνηση του διαστήματος
Η εξερεύνηση του διαστήματος μπορεί να βοηθήσει στην αποικιοκρατία των πόρων/των εδαφών άλλων πλανητών,Πρέπει να επιδοτήσουμε την εξερεύνηση του διαστήματος
Η εξερεύνηση του διαστήματος βελτιώνει την επιστήμη/τεχνολογία,Πρέπει να επιδοτήσουμε την εξερεύνηση του διαστήματος
Η εξερεύνηση του διαστήματος είναι οικονομικά επωφελής,Πρέπει να επιδοτήσουμε την εξερεύνηση του διαστήματος
Η εξερεύνηση του διαστήματος είναι απαραίτητη για τη μελλοντική επιβίωση της ανθρωπότητας,Πρέπει να επιδοτήσουμε την εξερεύνηση του διαστήματος
Η εξερεύνηση του διαστήματος αποκαλύπτει πληροφορίες για το σύμπαν,Πρέπει να επιδοτήσουμε την εξερεύνηση του διαστήματος
η επιδότηση της επαγγελματικής εκπαίδευσης οδηγεί σε εισροή σε αυτά τα επαγγέλματα,Πρέπει να επιδοτήσουμε την επαγγελματική εκπαίδευση
Η επαγγελματική εκπαίδευση δεν είναι μια καλή επιλογή σταδιοδρομίας,Πρέπει να επιδοτήσουμε την επαγγελματική εκπαίδευση
Η επιδότηση της επαγγελματικής εκπαίδευσης εκτρέπει τα χρήματα από πιο άξιες αιτίες,Πρέπει να επιδοτήσουμε την επαγγελματική εκπαίδευση
η επιδότηση της επαγγελματικής εκπαίδευσης είναι ακριβή,Πρέπει να επιδοτήσουμε την επαγγελματική εκπαίδευση
η επιδότηση της επαγγελματικής εκπαίδευσης προωθεί όσους έχουν λιγότερους πόρους,Πρέπει να επιδοτήσουμε την επαγγελματική εκπαίδευση
Η επαγγελματική εκπαίδευση είναι μια καλή επιλογή σταδιοδρομίας,Πρέπει να επιδοτήσουμε την επαγγελματική εκπαίδευση
Η επαγγελματική εκπαίδευση ταιριάζει καλύτερα σε πολλούς μαθητές,Πρέπει να επιδοτήσουμε την επαγγελματική εκπαίδευση
Η επαγγελματική εκπαίδευση είναι επωφελής για ολόκληρη την αγορά/κοινωνία,Πρέπει να επιδοτήσουμε την επαγγελματική εκπαίδευση
